,Title,Price,Link,Rating,Image
0,"Samsung Galaxy S24 Ultra Sensor Clear View Wallet Cover With Full Glue Screen Protector₦ 110,000","₦ 110,000",https://www.jumia.com.ng/samsung-galaxy-s24-ultra-sensor-clear-view-wallet-cover-with-full-glue-screen-protector-286532206.html,N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/2235682/1.jpg?1266
1,"Samsung Galaxy S24 Ultra Dual SIM - 12GB RAM - 256GB - 5G - Black₦ 1,650,000₦ 1,799,0008%","₦ 1,650,000",https://www.jumia.com.ng/samsung-galaxy-s24-ultra-dual-sim-12gb-ram-256gb-5g-black-288903990.html,N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/9309882/1.jpg?8408
2,"Samsung Galaxy S24 Ultra Dual SIM - 12GB RAM - 512GB - 5G - Black₦ 1,899,0005 out of 5(1)","₦ 1,899,000",https://www.jumia.com.ng/samsung-galaxy-s24-ultra-dual-sim-12gb-ram-512gb-5g-black-288906915.html,,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/9609882/1.jpg?9517
3,"Samsung Galaxy S24 Ultra 5G Sleek Silicone Protective Back Case₦ 5,000","₦ 5,000",https://www.jumia.com.ng/samsung-galaxy-s24-ultra-5g-sleek-silicone-protective-back-case-321546497.html,N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/4645123/1.jpg?9030
4,"Samsung Galaxy S24 Ultra 5G - 6.8"" (1TB/12GB) 5000mAh - Grey₦ 2,880,000₦ 3,134,0008%","₦ 2,880,000",https://www.jumia.com.ng/samsung-galaxy-s24-ultra-5g-6.8-1tb12gb-5000mah-grey-291832713.html,N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/7238192/1.jpg?1515
5,"Samsung Galaxy S24 Ultra 6.8'' 12GB  512GB ROM Dual Sim 5G - Black₦ 1,850,000","₦ 1,850,000",https://www.jumia.com.ng/samsung-galaxy-s24-ultra-6.8-12gb-512gb-rom-dual-sim-5g-black-291080079.html,N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/0080192/1.jpg?4833
6,"Samsung Galaxy S24 Plus Dual SIM - 12GB RAM - 256GB - 5G - Black₦ 1,350,000","₦ 1,350,000",https://www.jumia.com.ng/samsung-galaxy-s24-plus-dual-sim-12gb-ram-256gb-5g-black-288914970.html,N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/9419882/1.jpg?1628
7,"Samsung 45W USB Type-C To Type-C Super Fast Original Charger For  Redmi Xiaomi, Redmi, Samsung Note 10 S20/ S20 Ultra 5G S21 FE/ S21/S22/S23/S24 Ultra 5G, LG, Pixel,(WHITE)₦ 6,799₦ 29,00077%4.2 out of 5(134)","₦ 6,799",https://www.jumia.com.ng/samsung-45w-usb-type-c-to-type-c-super-fast-original-charger-for-redmi-xiaomi-redmi-samsung-note-10-s20-s20-ultra-5g-s21-fe-s21s22s23s24-ultra-5g-lg-pixelwhite-237224311.html,,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/3422732/1.jpg?0275
8,"Samsung Galaxy S24 Ultra Sensor Clear View Wallet Cover₦ 120,000","₦ 120,000",https://www.jumia.com.ng/samsung-galaxy-s24-ultra-sensor-clear-view-wallet-cover-283293466.html,N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/4392382/1.jpg?8259
9,"Samsung Galaxy S24 Ultra 5G Sleek Silicone Protective Back Case₦ 5,000","₦ 5,000",https://www.jumia.com.ng/samsung-galaxy-s24-ultra-5g-sleek-silicone-protective-back-case-321546404.html,N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/4645123/1.jpg?9049
